Zn1	Zn	0.206599954	0.793400046	0.706599954	1.333
O2	O	0.218100031	0.865999923	0.718100031	-0.641
C1	C	0.25	0.888700062	0.75	0.558
C2	C	0.25	0.946200062	0.75	0.106
C3	C	0.217100108	0.973100031	0.717100108	-0.167
H1	H	0.195099876	0.955200139	0.695099876	0.162
Zn1	Zn	0.206599954	0.206599954	0.706599954	1.333
O2	O	0.134000077	0.218100031	0.718100031	-0.641
C1	C	0.111299938	0.25	0.75	0.558
C2	C	0.053799938	0.25	0.75	0.106
C3	C	0.026899969	0.217100108	0.717100108	-0.167
H1	H	0.044799861	0.195099876	0.695099876	0.162
Zn1	Zn	0.793400046	0.206599954	0.706599954	1.333
O2	O	0.781899969	0.134000077	0.718100031	-0.641
C1	C	0.75	0.111299938	0.75	0.558
C2	C	0.75	0.053799938	0.75	0.106
C3	C	0.782899892	0.026899969	0.717100108	-0.167
H1	H	0.804900124	0.044799861	0.695099876	0.162
Zn1	Zn	0.793400046	0.793400046	0.706599954	1.333
O2	O	0.865999923	0.781899969	0.718100031	-0.641
C1	C	0.888700062	0.75	0.75	0.558
C2	C	0.946200062	0.75	0.75	0.106
C3	C	0.973100031	0.782899892	0.717100108	-0.167
H1	H	0.955200139	0.804900124	0.695099876	0.162
Zn1	Zn	0.793400046	0.793400046	0.293400046	1.333
O2	O	0.781899969	0.865999923	0.281899969	-0.641
C1	C	0.75	0.888700062	0.25	0.558
C2	C	0.75	0.946200062	0.25	0.106
C3	C	0.782899892	0.973100031	0.282899892	-0.167
H1	H	0.804900124	0.955200139	0.304900124	0.162
Zn1	Zn	0.206599954	0.793400046	0.293400046	1.333
O2	O	0.134000077	0.781899969	0.281899969	-0.641
C1	C	0.111299938	0.75	0.25	0.558
C2	C	0.053799938	0.75	0.25	0.106
C3	C	0.026899969	0.782899892	0.282899892	-0.167
H1	H	0.044799861	0.804900124	0.304900124	0.162
Zn1	Zn	0.793400046	0.206599954	0.293400046	1.333
O2	O	0.865999923	0.218100031	0.281899969	-0.641
C1	C	0.888700062	0.25	0.25	0.558
C2	C	0.946200062	0.25	0.25	0.106
C3	C	0.973100031	0.217100108	0.282899892	-0.167
H1	H	0.955200139	0.195099876	0.304900124	0.162
O2	O	0.718100031	0.781899969	0.865999923	-0.641
C3	C	0.717100108	0.782899892	0.973100031	-0.167
H1	H	0.695099876	0.804900124	0.955200139	0.162
O2	O	0.218100031	0.718100031	0.865999923	-0.641
C3	C	0.217100108	0.717100108	0.973100031	-0.167
H1	H	0.195099876	0.695099876	0.955200139	0.162
O2	O	0.281899969	0.218100031	0.865999923	-0.641
C3	C	0.282899892	0.217100108	0.973100031	-0.167
H1	H	0.304900124	0.195099876	0.955200139	0.162
O2	O	0.781899969	0.281899969	0.865999923	-0.641
C3	C	0.782899892	0.282899892	0.973100031	-0.167
H1	H	0.804900124	0.304900124	0.955200139	0.162
O2	O	0.718100031	0.218100031	0.134000077	-0.641
C3	C	0.717100108	0.217100108	0.026899969	-0.167
H1	H	0.695099876	0.195099876	0.044799861	0.162
O2	O	0.781899969	0.718100031	0.134000077	-0.641
C3	C	0.782899892	0.717100108	0.026899969	-0.167
H1	H	0.804900124	0.695099876	0.044799861	0.162
O2	O	0.281899969	0.781899969	0.134000077	-0.641
C3	C	0.282899892	0.782899892	0.026899969	-0.167
H1	H	0.304900124	0.804900124	0.044799861	0.162
O2	O	0.218100031	0.281899969	0.134000077	-0.641
C3	C	0.217100108	0.282899892	0.026899969	-0.167
H1	H	0.195099876	0.304900124	0.044799861	0.162
O2	O	0.865999923	0.718100031	0.781899969	-0.641
C3	C	0.973100031	0.717100108	0.782899892	-0.167
H1	H	0.955200139	0.695099876	0.804900124	0.162
O2	O	0.281899969	0.865999923	0.781899969	-0.641
C3	C	0.282899892	0.973100031	0.782899892	-0.167
H1	H	0.304900124	0.955200139	0.804900124	0.162
O2	O	0.134000077	0.281899969	0.781899969	-0.641
C3	C	0.026899969	0.282899892	0.782899892	-0.167
H1	H	0.044799861	0.304900124	0.804900124	0.162
O2	O	0.718100031	0.134000077	0.781899969	-0.641
C3	C	0.717100108	0.026899969	0.782899892	-0.167
H1	H	0.695099876	0.044799861	0.804900124	0.162
O2	O	0.865999923	0.281899969	0.218100031	-0.641
C3	C	0.973100031	0.282899892	0.217100108	-0.167
H1	H	0.955200139	0.304900124	0.195099876	0.162
O2	O	0.718100031	0.865999923	0.218100031	-0.641
C3	C	0.717100108	0.973100031	0.217100108	-0.167
H1	H	0.695099876	0.955200139	0.195099876	0.162
O2	O	0.134000077	0.718100031	0.218100031	-0.641
C3	C	0.026899969	0.717100108	0.217100108	-0.167
H1	H	0.044799861	0.695099876	0.195099876	0.162
O2	O	0.281899969	0.134000077	0.218100031	-0.641
C3	C	0.282899892	0.026899969	0.217100108	-0.167
H1	H	0.304900124	0.044799861	0.195099876	0.162
O2	O	0.781899969	0.865999923	0.718100031	-0.641
C3	C	0.782899892	0.973100031	0.717100108	-0.167
H1	H	0.804900124	0.955200139	0.695099876	0.162
O2	O	0.781899969	0.134000077	0.281899969	-0.641
C3	C	0.782899892	0.026899969	0.282899892	-0.167
H1	H	0.804900124	0.044799861	0.304900124	0.162
O2	O	0.865999923	0.781899969	0.281899969	-0.641
C3	C	0.973100031	0.782899892	0.282899892	-0.167
H1	H	0.955200139	0.804900124	0.304900124	0.162
O2	O	0.218100031	0.865999923	0.281899969	-0.641
C3	C	0.217100108	0.973100031	0.282899892	-0.167
H1	H	0.195099876	0.955200139	0.304900124	0.162
O2	O	0.134000077	0.218100031	0.281899969	-0.641
C3	C	0.026899969	0.217100108	0.282899892	-0.167
H1	H	0.044799861	0.195099876	0.304900124	0.162
O2	O	0.218100031	0.134000077	0.718100031	-0.641
C3	C	0.217100108	0.026899969	0.717100108	-0.167
H1	H	0.195099876	0.044799861	0.695099876	0.162
O2	O	0.865999923	0.218100031	0.718100031	-0.641
C3	C	0.973100031	0.217100108	0.717100108	-0.167
H1	H	0.955200139	0.195099876	0.695099876	0.162
O2	O	0.134000077	0.781899969	0.718100031	-0.641
C3	C	0.026899969	0.782899892	0.717100108	-0.167
H1	H	0.044799861	0.804900124	0.695099876	0.162
Zn1	Zn	0.293400046	0.706599954	0.706599954	1.333
O2	O	0.281899969	0.718100031	0.634000077	-0.641
C1	C	0.25	0.75	0.611299938	0.558
C2	C	0.25	0.75	0.553799938	0.106
C3	C	0.282899892	0.717100108	0.526899969	-0.167
H1	H	0.304900124	0.695099876	0.544799861	0.162
O2	O	0.781899969	0.781899969	0.634000077	-0.641
C1	C	0.75	0.75	0.611299938	0.558
C2	C	0.75	0.75	0.553799938	0.106
C3	C	0.782899892	0.782899892	0.526899969	-0.167
H1	H	0.804900124	0.804900124	0.544799861	0.162
Zn1	Zn	0.706599954	0.293400046	0.706599954	1.333
O2	O	0.718100031	0.281899969	0.634000077	-0.641
C1	C	0.75	0.25	0.611299938	0.558
C2	C	0.75	0.25	0.553799938	0.106
C3	C	0.717100108	0.282899892	0.526899969	-0.167
H1	H	0.695099876	0.304900124	0.544799861	0.162
O2	O	0.218100031	0.218100031	0.634000077	-0.641
C1	C	0.25	0.25	0.611299938	0.558
C2	C	0.25	0.25	0.553799938	0.106
C3	C	0.217100108	0.217100108	0.526899969	-0.167
H1	H	0.195099876	0.195099876	0.544799861	0.162
Zn1	Zn	0.293400046	0.293400046	0.293400046	1.333
O2	O	0.281899969	0.281899969	0.365999923	-0.641
C1	C	0.25	0.25	0.388700062	0.558
C2	C	0.25	0.25	0.446200062	0.106
C3	C	0.282899892	0.282899892	0.473100031	-0.167
H1	H	0.304900124	0.304900124	0.455200139	0.162
O2	O	0.218100031	0.781899969	0.365999923	-0.641
C1	C	0.25	0.75	0.388700062	0.558
C2	C	0.25	0.75	0.446200062	0.106
C3	C	0.217100108	0.782899892	0.473100031	-0.167
H1	H	0.195099876	0.804900124	0.455200139	0.162
Zn1	Zn	0.706599954	0.706599954	0.293400046	1.333
O2	O	0.718100031	0.718100031	0.365999923	-0.641
C1	C	0.75	0.75	0.388700062	0.558
C2	C	0.75	0.75	0.446200062	0.106
C3	C	0.717100108	0.717100108	0.473100031	-0.167
H1	H	0.695099876	0.695099876	0.455200139	0.162
O2	O	0.781899969	0.218100031	0.365999923	-0.641
C1	C	0.75	0.25	0.388700062	0.558
C2	C	0.75	0.25	0.446200062	0.106
C3	C	0.782899892	0.217100108	0.473100031	-0.167
H1	H	0.804900124	0.195099876	0.455200139	0.162
Zn1	Zn	0.706599954	0.706599954	0.706599954	1.333
O2	O	0.718100031	0.634000077	0.718100031	-0.641
C1	C	0.75	0.611299938	0.75	0.558
C2	C	0.75	0.553799938	0.75	0.106
C3	C	0.717100108	0.526899969	0.717100108	-0.167
H1	H	0.695099876	0.544799861	0.695099876	0.162
Zn1	Zn	0.293400046	0.293400046	0.706599954	1.333
O2	O	0.281899969	0.365999923	0.718100031	-0.641
C1	C	0.25	0.388700062	0.75	0.558
C2	C	0.25	0.446200062	0.75	0.106
C3	C	0.282899892	0.473100031	0.717100108	-0.167
H1	H	0.304900124	0.455200139	0.695099876	0.162
Zn1	Zn	0.293400046	0.706599954	0.293400046	1.333
O2	O	0.281899969	0.634000077	0.281899969	-0.641
C1	C	0.25	0.611299938	0.25	0.558
C2	C	0.25	0.553799938	0.25	0.106
C3	C	0.282899892	0.526899969	0.282899892	-0.167
H1	H	0.304900124	0.544799861	0.304900124	0.162
Zn1	Zn	0.706599954	0.293400046	0.293400046	1.333
O2	O	0.718100031	0.365999923	0.281899969	-0.641
C1	C	0.75	0.388700062	0.25	0.558
C2	C	0.75	0.446200062	0.25	0.106
C3	C	0.717100108	0.473100031	0.282899892	-0.167
H1	H	0.695099876	0.455200139	0.304900124	0.162
O2	O	0.218100031	0.634000077	0.781899969	-0.641
C1	C	0.25	0.611299938	0.75	0.558
C2	C	0.25	0.553799938	0.75	0.106
C3	C	0.217100108	0.526899969	0.782899892	-0.167
H1	H	0.195099876	0.544799861	0.804900124	0.162
O2	O	0.218100031	0.365999923	0.218100031	-0.641
C1	C	0.25	0.388700062	0.25	0.558
C2	C	0.25	0.446200062	0.25	0.106
C3	C	0.217100108	0.473100031	0.217100108	-0.167
H1	H	0.195099876	0.455200139	0.195099876	0.162
O2	O	0.781899969	0.634000077	0.218100031	-0.641
C1	C	0.75	0.611299938	0.25	0.558
C2	C	0.75	0.553799938	0.25	0.106
C3	C	0.782899892	0.526899969	0.217100108	-0.167
H1	H	0.804900124	0.544799861	0.195099876	0.162
O2	O	0.781899969	0.365999923	0.781899969	-0.641
C1	C	0.75	0.388700062	0.75	0.558
C2	C	0.75	0.446200062	0.75	0.106
C3	C	0.782899892	0.473100031	0.782899892	-0.167
H1	H	0.804900124	0.455200139	0.804900124	0.162
O2	O	0.718100031	0.281899969	0.365999923	-0.641
C3	C	0.717100108	0.282899892	0.473100031	-0.167
H1	H	0.695099876	0.304900124	0.455200139	0.162
O2	O	0.218100031	0.218100031	0.365999923	-0.641
C3	C	0.217100108	0.217100108	0.473100031	-0.167
H1	H	0.195099876	0.195099876	0.455200139	0.162
O2	O	0.281899969	0.718100031	0.365999923	-0.641
C3	C	0.282899892	0.717100108	0.473100031	-0.167
H1	H	0.304900124	0.695099876	0.455200139	0.162
O2	O	0.781899969	0.781899969	0.365999923	-0.641
C3	C	0.782899892	0.782899892	0.473100031	-0.167
H1	H	0.804900124	0.804900124	0.455200139	0.162
O2	O	0.718100031	0.718100031	0.634000077	-0.641
C3	C	0.717100108	0.717100108	0.526899969	-0.167
H1	H	0.695099876	0.695099876	0.544799861	0.162
O2	O	0.781899969	0.218100031	0.634000077	-0.641
C3	C	0.782899892	0.217100108	0.526899969	-0.167
H1	H	0.804900124	0.195099876	0.544799861	0.162
O2	O	0.281899969	0.281899969	0.634000077	-0.641
C3	C	0.282899892	0.282899892	0.526899969	-0.167
H1	H	0.304900124	0.304900124	0.544799861	0.162
O2	O	0.218100031	0.781899969	0.634000077	-0.641
C3	C	0.217100108	0.782899892	0.526899969	-0.167
H1	H	0.195099876	0.804900124	0.544799861	0.162
O2	O	0.281899969	0.365999923	0.281899969	-0.641
C3	C	0.282899892	0.473100031	0.282899892	-0.167
H1	H	0.304900124	0.455200139	0.304900124	0.162
O2	O	0.718100031	0.634000077	0.281899969	-0.641
C3	C	0.717100108	0.526899969	0.282899892	-0.167
H1	H	0.695099876	0.544799861	0.304900124	0.162
O2	O	0.718100031	0.365999923	0.718100031	-0.641
C3	C	0.717100108	0.473100031	0.717100108	-0.167
H1	H	0.695099876	0.455200139	0.695099876	0.162
O2	O	0.281899969	0.634000077	0.718100031	-0.641
C3	C	0.282899892	0.526899969	0.717100108	-0.167
H1	H	0.304900124	0.544799861	0.695099876	0.162
O2	O	0.781899969	0.365999923	0.218100031	-0.641
C3	C	0.782899892	0.473100031	0.217100108	-0.167
H1	H	0.804900124	0.455200139	0.195099876	0.162
O2	O	0.781899969	0.634000077	0.781899969	-0.641
C3	C	0.782899892	0.526899969	0.782899892	-0.167
H1	H	0.804900124	0.544799861	0.804900124	0.162
O2	O	0.218100031	0.365999923	0.781899969	-0.641
C3	C	0.217100108	0.473100031	0.782899892	-0.167
H1	H	0.195099876	0.455200139	0.804900124	0.162
O2	O	0.218100031	0.634000077	0.218100031	-0.641
C3	C	0.217100108	0.526899969	0.217100108	-0.167
H1	H	0.195099876	0.544799861	0.195099876	0.162
O2	O	0.634000077	0.281899969	0.718100031	-0.641
C1	C	0.611299938	0.25	0.75	0.558
C2	C	0.553799938	0.25	0.75	0.106
C3	C	0.526899969	0.282899892	0.717100108	-0.167
H1	H	0.544799861	0.304900124	0.695099876	0.162
O2	O	0.365999923	0.718100031	0.718100031	-0.641
C1	C	0.388700062	0.75	0.75	0.558
C2	C	0.446200062	0.75	0.75	0.106
C3	C	0.473100031	0.717100108	0.717100108	-0.167
H1	H	0.455200139	0.695099876	0.695099876	0.162
O2	O	0.634000077	0.718100031	0.281899969	-0.641
C1	C	0.611299938	0.75	0.25	0.558
C2	C	0.553799938	0.75	0.25	0.106
C3	C	0.526899969	0.717100108	0.282899892	-0.167
H1	H	0.544799861	0.695099876	0.304900124	0.162
O2	O	0.365999923	0.281899969	0.281899969	-0.641
C1	C	0.388700062	0.25	0.25	0.558
C2	C	0.446200062	0.25	0.25	0.106
C3	C	0.473100031	0.282899892	0.282899892	-0.167
H1	H	0.455200139	0.304900124	0.304900124	0.162
O2	O	0.634000077	0.218100031	0.218100031	-0.641
C1	C	0.611299938	0.25	0.25	0.558
C2	C	0.553799938	0.25	0.25	0.106
C3	C	0.526899969	0.217100108	0.217100108	-0.167
H1	H	0.544799861	0.195099876	0.195099876	0.162
O2	O	0.365999923	0.781899969	0.218100031	-0.641
C1	C	0.388700062	0.75	0.25	0.558
C2	C	0.446200062	0.75	0.25	0.106
C3	C	0.473100031	0.782899892	0.217100108	-0.167
H1	H	0.455200139	0.804900124	0.195099876	0.162
O2	O	0.634000077	0.781899969	0.781899969	-0.641
C1	C	0.611299938	0.75	0.75	0.558
C2	C	0.553799938	0.75	0.75	0.106
C3	C	0.526899969	0.782899892	0.782899892	-0.167
H1	H	0.544799861	0.804900124	0.804900124	0.162
O2	O	0.365999923	0.218100031	0.781899969	-0.641
C1	C	0.388700062	0.25	0.75	0.558
C2	C	0.446200062	0.25	0.75	0.106
C3	C	0.473100031	0.217100108	0.782899892	-0.167
H1	H	0.455200139	0.195099876	0.804900124	0.162
O2	O	0.365999923	0.718100031	0.281899969	-0.641
C3	C	0.473100031	0.717100108	0.282899892	-0.167
H1	H	0.455200139	0.695099876	0.304900124	0.162
O2	O	0.634000077	0.281899969	0.281899969	-0.641
C3	C	0.526899969	0.282899892	0.282899892	-0.167
H1	H	0.544799861	0.304900124	0.304900124	0.162
O2	O	0.365999923	0.281899969	0.718100031	-0.641
C3	C	0.473100031	0.282899892	0.717100108	-0.167
H1	H	0.455200139	0.304900124	0.695099876	0.162
O2	O	0.634000077	0.718100031	0.718100031	-0.641
C3	C	0.526899969	0.717100108	0.717100108	-0.167
H1	H	0.544799861	0.695099876	0.695099876	0.162
O2	O	0.365999923	0.781899969	0.781899969	-0.641
C3	C	0.473100031	0.782899892	0.782899892	-0.167
H1	H	0.455200139	0.804900124	0.804900124	0.162
O2	O	0.634000077	0.218100031	0.781899969	-0.641
C3	C	0.526899969	0.217100108	0.782899892	-0.167
H1	H	0.544799861	0.195099876	0.804900124	0.162
O2	O	0.365999923	0.218100031	0.218100031	-0.641
C3	C	0.473100031	0.217100108	0.217100108	-0.167
H1	H	0.455200139	0.195099876	0.195099876	0.162
O2	O	0.634000077	0.781899969	0.218100031	-0.641
C3	C	0.526899969	0.782899892	0.217100108	-0.167
H1	H	0.544799861	0.804900124	0.195099876	0.162
